index,origin,ea,size,h4,h8,h16,h32,h64
0.0,-1.0,3219.19951442594,1904937.0,3.910422516079682,5.636783103439473,7.320702887170045,8.839060912581353,10.27351430148784
1.0,-1.0,4641.195306965178,1872274.0,3.879340612424836,5.724873254728273,7.444174488458987,9.13114805544639,10.68826503658969
2.0,-1.0,3801.892763166733,1390256.0,3.92944294192876,5.835324514847783,7.683851597986225,9.4865507971535,11.195375951458765
3.0,-1.0,1857.831093807613,1300198.0,3.788094198685389,5.449580737315902,7.130209270317112,8.818180938417951,10.430146404228752
4.0,-1.0,5817.261079199723,2176461.0,3.953604316088597,5.853159617260905,7.7377926097617475,9.222662984721184,10.46035033451682
5.0,-1.0,4090.178466415149,1430026.0,3.9576050663030378,5.848434489494283,7.678075616012203,9.37297756492778,10.87818249487898
6.0,-1.0,2661.788934749748,1522650.0,3.9579817344084174,5.8222514213245375,7.50877586932074,9.075726046038806,10.562181785252903
7.0,-1.0,4579.450633399648,1452077.0,3.9711674817238727,5.894754216425972,7.638173392641031,9.210615109316276,10.781179197822544
8.0,3.0,2433.865743532538,1883069.0,3.856111421021698,5.725458804773304,7.45369783416252,9.07894309198839,10.51371516773194
9.0,3.0,404.7462201110324,981941.0,3.8478395276038353,5.091888016721391,6.438221743849864,8.009327742702148,9.57660655627669
10.0,9.0,2808.308911572476,1806474.0,3.764288291870996,5.601671667236746,7.320474968880714,8.766893309688413,10.408812303269617
11.0,9.0,3435.380554047915,2269941.0,3.8894742510777824,5.806124506373975,7.627131724143456,9.230494246252924,10.599841185778969
12.0,9.0,899.5814865688594,2435782.0,3.856787704760509,5.656309686877463,7.397630184567248,8.962749575587642,10.369011990278596
13.0,9.0,7187.054254754702,2454022.0,3.968913203697847,5.893209465656204,7.790107442091635,9.560180406750185,11.029900385017328
14.0,9.0,2164.4591520046806,850584.0,3.626450236654475,4.904346983465654,6.435392209405107,8.097444157838234,9.790651492378776
15.0,9.0,2039.892960313689,2231185.0,3.836820007400206,5.561634347472948,7.254962883124598,8.915427446954444,10.484372796455045
16.0,9.0,3654.3312687687103,565798.0,3.965893249747393,5.746824937635625,7.232412972867512,8.917273434901038,10.6668051437541
17.0,9.0,2072.8411971123405,1273493.0,3.610711438647934,5.1836312360023244,6.74928481593832,8.457418027191533,10.24777312422318
18.0,16.0,6545.6165629061215,1373823.0,3.9098553956230537,5.70379515438975,7.345718419138013,8.833294229215635,10.371058772356982
19.0,16.0,2479.397696932195,1127175.0,3.616885490558469,4.950833500738083,6.24539928122706,7.855399955377655,9.568669702523366
